username,handle,tweet_text,time
Tiara Johnson,@3034ASDS_Tiara,Networking!!! Women In Leadership Event!#HomeDepot#District80Rocks,2020-02-07T00:03:09.000Z
Arron Muniz,@Arron1059,Thank you for the AMAZING apron!!!!! #homedepot #HD1059,2020-02-06T21:09:35.000Z
Steve Stuckert,@stuckert_steve,Had a great Spring Alignment with the regional team! Ready to Win in Spring! #HomeDepot @lappinstweeting @jonbaumann304 @CampSweenScott @MichaelRiva4,2020-02-06T17:38:56.000Z
Flower Mound,@tHD_FlowerMound,#flowermound #HomeDepot associates having a #twinning day!,2020-02-06T17:33:23.000Z
Flower Mound,@tHD_FlowerMound,Thank you Lora for taking the time to write a Bravo card and recognizing a fellow associate for their amazing customer service!!#badgerup #homedepot #flowermound,2020-02-06T17:28:38.000Z
Darren Ogee,@TuffShedOgee,"It’s a great day for a new #TuffShed, and Esmeralda, Cole, Ruby, and Daniel are ready to help at #HomeDepot 3911 in MidWest City!",2020-02-08T19:36:17.000Z
Darren Ogee,@TuffShedOgee,"It’s a great day for a new #TuffShed, and Esmeralda, Cole, Ruby, and Daniel are ready to help at #HomeDepot 3911 in MidWest City!",2020-02-08T19:36:17.000Z
DannyC,@DannyC_THD,"Even in Home Depot’s Comic Book world, tool chest lay down looking on point. #HomeDepot #4403theBeast",2020-02-08T11:55:19.000Z
𝒥𝒶𝓂𝑒𝓈 𝑀𝒶𝓃𝒹𝒶𝓉𝑜,@JamesMandato,"Thank you to Jimmy, a 21 year associate at the Mohegan Lake Home Depot, for giving everyone a good class today.  I appreciate you!  #homedepot",2020-02-07T13:18:48.000Z
Tiara Johnson,@3034ASDS_Tiara,Networking!!! Women In Leadership Event!#HomeDepot#District80Rocks,2020-02-07T00:03:09.000Z
Arron Muniz,@Arron1059,Thank you for the AMAZING apron!!!!! #homedepot #HD1059,2020-02-06T21:09:35.000Z
Steve Stuckert,@stuckert_steve,Had a great Spring Alignment with the regional team! Ready to Win in Spring! #HomeDepot @lappinstweeting @jonbaumann304 @CampSweenScott @MichaelRiva4,2020-02-06T17:38:56.000Z
Steve Stuckert,@stuckert_steve,Had a great Spring Alignment with the regional team! Ready to Win in Spring! #HomeDepot @lappinstweeting @jonbaumann304 @CampSweenScott @MichaelRiva4,2020-02-06T17:38:56.000Z
Flower Mound,@tHD_FlowerMound,#flowermound #HomeDepot associates having a #twinning day!,2020-02-06T17:33:23.000Z
Sunamita Morales,@SunamitaMorales,Shout Out to Denise + Bryan for bringing us some Round Rock Donuts for Motivation!!  #HomeDepot #MDO5837 @denisrey322 @B_Brown83 @THD_MDO5837 @DashMaw,2020-02-08T02:36:50.000Z
The Poisoned Planet News ,@poisonedpshow,N95 masks OUT-OF-STOCK at Home Depots. This is just the beginning. Stop & Shop is next #Coronavius #news #homedepot #news #breaking #n95mask #virus #flu #sick #cdc #quarantine,2020-02-07T17:03:00.000Z
Harmony SOD,@HarmonyOrangeHD,Great time in #AZ this week kicking off our district meetings. #Homedepot,2020-02-07T15:42:29.000Z
Mike Sharlow,@hdesyracuse,Our team is ready for the start of our Saturday in store Window events and generating homeowner leads for Spring window projects #letdothis #homedepot ⁦@Scott_Wodicka⁩ ⁦⁦@HomeDepot⁩ ⁦@KendraByrd24⁩,2020-02-07T13:59:13.000Z
Anthony.arvizu,@Anthonyarvizu9,Congratulations to Jason in Lumber Recovery for hitting his Platinum mile stone!! #yuccavalley #homedepot @6971Home @larrylubinsky @kellie69331611,2020-02-07T12:51:34.000Z
Madrid,@anthony_shedder,What an awesome cause #homedepot #tuffshed @WhitefleetChris @TuffShedDoug @MervinTHD @LegalleyF,2020-02-07T00:25:22.000Z
Stacey B ,@StayCeeBeeTHD,The Stuart #hd6314 having fun while hosting JD Parker Elementary for MATH Night  We ARE the #HomeDepot @MalitsX @Samantha_6314 @Chris_J_Mangino @PennyPaladino Knowledge is power #learningthroughplay,2020-02-07T00:14:46.000Z
Patrick Bian,@PatrickBian2,Celebrated our CoS Don today during our Specialty Wall with @THDJohn91 Way to bring it every day sir! Keep up the great work! @jaybisping @juanitashinn7 @homedepot773 @MccullarJim @kernsied #HomeDepot,2020-02-06T23:42:51.000Z
Sunamita Morales,@SunamitaMorales,Shout Out to Denise + Bryan for bringing us some Round Rock Donuts for Motivation!!  #HomeDepot #MDO5837 @denisrey322 @B_Brown83 @THD_MDO5837 @DashMaw,2020-02-08T02:36:50.000Z
The Poisoned Planet News ,@poisonedpshow,N95 masks OUT-OF-STOCK at Home Depots. This is just the beginning. Stop & Shop is next #Coronavius #news #homedepot #news #breaking #n95mask #virus #flu #sick #cdc #quarantine,2020-02-07T17:03:00.000Z
Harmony SOD,@HarmonyOrangeHD,Great time in #AZ this week kicking off our district meetings. #Homedepot,2020-02-07T15:42:29.000Z
Mike Sharlow,@hdesyracuse,Our team is ready for the start of our Saturday in store Window events and generating homeowner leads for Spring window projects #letdothis #homedepot ⁦@Scott_Wodicka⁩ ⁦⁦@HomeDepot⁩ ⁦@KendraByrd24⁩,2020-02-07T13:59:13.000Z
Anthony.arvizu,@Anthonyarvizu9,Congratulations to Jason in Lumber Recovery for hitting his Platinum mile stone!! #yuccavalley #homedepot @6971Home @larrylubinsky @kellie69331611,2020-02-07T12:51:34.000Z
Madrid,@anthony_shedder,What an awesome cause #homedepot #tuffshed @WhitefleetChris @TuffShedDoug @MervinTHD @LegalleyF,2020-02-07T00:25:22.000Z
