username,handle,tweet_text,time
Moshe Falik,@FalikMoshe,"Muscular Dystrophy  travelling can be a  , we continue to be  by the @Delta team at ORD.  Menachem wishing Good luck Jessica Osbourne, Former Operations Manager #Skymiles #deltaairlines #customerservice #bestservice #endduchenne #duchennediamond #wheelchairwings",2020-02-10T03:32:48.000Z
"<div aria-label=""⭕️"" class=""css-1dbjc4n r-xoduu5 r-1mlwlqe r-1d2f490 r-1udh08x r-u8s1d r-h9hxbl r-417010"" style=""height: 1.2em;""><div class=""css-1dbjc4n r-1niwhzg r-vvn4in r-u6sd8q r-x3cy2q r-1p0dtai r-xoduu5 r-1pi2tsx r-1d2f490 r-u8s1d r-zchlnj r-ipm5af r-13qz1uu r-1wyyakw"" style='background-image: url(""https://abs-0.twimg.com/emoji/v2/svg/2b55.svg"");'></div><img alt=""⭕️"" class=""css-9pa8cd"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/svg/2b55.svg""/></div>",@MaddieKo92,The person loading it on is also taking their sweet sweet delicious time.  Classic #DeltaAirlines,2020-02-09T18:28:30.000Z
Akeem Hill,@90s_ironAddict,That bucket was provided to you by #DeltaAirlines. Safe travels everyone ,2020-02-08T20:02:11.000Z
samantha from bombay,@Sam_from_Bombay,"Hi @delta he’s made it to Atlanta but we still need to get him to Tucson, Arizona. Where to reach you? He already tried customer service but we are not sure of next steps since the New York flight was so delayed that the connecting flight has already left. #Delta #deltaairlines",2020-02-08T01:20:18.000Z
voodoolady,@frassylassie,@Delta what the hell - flight delayed from Miami to LGA for 3 hours and now the plane is here but we can’t leave because there is no flight attendant. Unacceptable!!! #delta #deltaairlines @united,2020-02-07T22:14:30.000Z
ChrisPhillipsCreator,@ChrisPhillipsCR,I’m stuck in Boston.  My flight was delayed over 4 hours.  My mom fell and just had surgery.  I need to get home.  No one here is trying to help at all.  The person on the phone told me it wouldn’t be delayed again two delays ago.  #DeltaAirlines,2020-02-07T16:05:52.000Z
Brittany,@BNDConsulting,"@Delta is breaking my heart. The flight boarded early, no one paged myself or 14 others in Sky Club, and it looks like I'll miss my anniversary plans. Not much gets to me, but this really hurts. #DeltaAirlines #WhatHappened",2020-02-07T14:23:01.000Z
Timothy Lin,@timothylin,Beans (mixed in the eggs) before flights? #deltaairlines has a sense of humor,2020-02-07T14:06:46.000Z
Victoria Louise,@victoriallyle,"Don't fly Delta #deltaairlines delayed apx 14 hour & multiple times.  No accommodation or compensation. Now out money for our hotel/car rental, late for events.. No answers. Weather is not an issue.  Forced to check carry-on.  We have nothing. Never again @Delta @DeltaNewsHub",2020-02-07T07:48:20.000Z
Brittany,@BNDConsulting,"@Delta is breaking my heart. The flight boarded early, no one paged myself or 14 others in Sky Club, and it looks like I'll miss my anniversary plans. Not much gets to me, but this really hurts. #DeltaAirlines #WhatHappened",2020-02-07T14:23:01.000Z
"<div aria-label=""🐸"" class=""css-1dbjc4n r-xoduu5 r-1mlwlqe r-1d2f490 r-1udh08x r-u8s1d r-h9hxbl r-417010"" style=""height: 1.2em;""><div class=""css-1dbjc4n r-1niwhzg r-vvn4in r-u6sd8q r-x3cy2q r-1p0dtai r-xoduu5 r-1pi2tsx r-1d2f490 r-u8s1d r-zchlnj r-ipm5af r-13qz1uu r-1wyyakw"" style='background-image: url(""https://abs-0.twimg.com/emoji/v2/svg/1f438.svg"");'></div><img alt=""🐸"" class=""css-9pa8cd"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/svg/1f438.svg""/></div>",@SSassyamy,sounds to me like #Delta #deltaairlines  best be upgrading ya and getting ya a new suitcase,2020-02-07T23:20:26.000Z
Eugenie P. Taylor,@NolaEugenie,Why can’t #deltaairlines recognize my KNOWN TRAVELER NUMBER and issue a ticket accordingly. I have a #Deltaamericanexpress and have connected that number to my frequent flyer number tons of times and still not given TSA pre-check tix,2020-02-07T20:24:07.000Z
Eugenie P. Taylor,@NolaEugenie,"Booked Delta flight, entered my Known Traveler Number yet ticket still did not have me labeled as Pre-check- major frustration  #deltaairlines #delta",2020-02-07T20:20:30.000Z
Murray The Owl™,@burrowingbolt,Talons crossed ( we've heard that #deltaairlines are rather lovely people) ,2020-02-07T18:56:40.000Z
Bruce James,@Bruceanator,@Delta Delta airlines sucks. What a bunch of Idiots. Does 1 stupid rude gate agent represent Delta?  Story is too long for Twitter DM me and please RT this. This sick idiot should be let go.  You will agree when you hear what he did. SLC-SMF this morning. #deltaairlines,2020-02-07T16:41:02.000Z
Dividend.Company,@GlobalDividend,"Company: Delta Air LinesDividend: 0,4025 USDPeriod: 2020 3 monthsDividend yield: 2,78 %Record date: 20.02.2020Ticker: DALMarket: NYSECurrency: United States DollarCountry: United States#DeltaAirLines #DAL #NYSE #Dividends #Stocks #StockMarket #DividendYield #Investing",2020-02-07T11:29:35.000Z
